I ^vm+i0+00++++i+
mansión ^nfs+com+++++mansión+
. ^punc+sent+.+++++
Los ^p3mp+rel+++++el+
que ^p3mp"+rel+++++que+
estaban ^vm+ii+3p++++estar+
a ^en++++++a+
'l ^lms+def+++++el+
lado ^nms+com+++++lado+
de ^en++++++de+
'l ^lms+def+++++el+
recitador ^nms+com+++++recitador+
irrespetuoso ^jms++++++irrespetuoso+
se ^p3cn+per++mtz+++él+
echaron ^vm+is+3p++++echar+
a ^vm"+is+3p++++a+
reir ^v+++++??++
, ^punc++,+++++
y ^con+coor+++++y+
los ^lmp+def+++++el+
demás ^jcp+++++!!+demás+
estudiantes ^ncp+com++++!!+estudiante+
miraron ^vm+is+3p++++mirar+
a ^en++++++a+
'l ^lms+def+++++el+
grupo ^nms+com+++++grupo+
de ^en++++++de+
los ^lmp+def+++++el+
alborotadores ^nmp+com+++++alborotador+
. ^punc+sent+.+++++
Qué ^p3cn+int++++!!+qué+
es ^vm+ip+3s++++ser+
eso ^p3cs+dem+++++eso+
? ^punc+sent+?+++++
Qué ^p3cn+int++++!!+qué+
pasa?--dijo ^n+++++??++
el ^lms+def+++++el+
profesor ^nms+com+++++profesor+
poniéndo ^vm+++++??++
se ^p3cn+per++++clt++
los ^lmp+def+++++el+
lentes ^nfp+com+++++lente+
y ^con+coor+++++y+
acercándo ^n+++++??++
se ^p3cn+per++++clt++
a ^en++++++a+
'l ^lms+def+++++el+
barandado ^n+++++??++
de ^en++++++de+
la ^lfs+def+++++la+
tribuna ^nfs+com++++!!+tribuna+
. ^punc+sent+.+++++
- ^punc++-+++++
- ^punc++-+++++
Es ^vm+ip+3s++++ser+
que ^que+vcomp++++!!+que+
alguno ^p3ms+ind++++!!+alguno+
ha ^va+ip+3s++++haber+
perdido ^vm+ps+0s++++perder+
la ^lfs+def+++++la+
herradura ^nfs+com+++++herradura+
por ^en++++++por+
ahí ^r++++++ahí+
? ^punc+sent+?+++++
Yo ^p1cs+per+++++yo+
suplico ^vm+ip+1s++++suplicar+
a ^en++++++a+
los ^p3mp+rel+++++el+
que ^p3mp"+rel+++++que+
están ^vm+ip+3p++++estar+
a ^en++++++a+
'l ^lms+def+++++el+
lado ^nms+com+++++lado+
de ^en++++++de+
ese ^d3ms+dem++++!!+ese+
asno ^nms+com+++++asno+
, ^punc++,+++++
que ^que+relat++++!!+que+
rebuzna ^vm+++++??++
con ^en++++++con+
tal ^d0cs+dem+++++tal+
perfección ^nfs+com+++++perfección+
que ^que+relat++++!!+que+
se ^p3cn+per++psv+++él+
alejen ^vm+sp+3p++++alejar+
de ^en++++++de+
él ^p3ms+per+++++él+
, ^punc++,+++++
porque ^con+sub+++++porque+
sus ^d3cp+pos+++++su+
coces ^nfp+com+++++coz+
deben ^vm+ip+3p++++deber+
ser ^vm+n0+00+++!!+ser+
mortales ^ncp+com++++!!+mortal+
de ^en++++++de+
necesidad ^nfs+com+++++necesidad+
. ^punc+sent+.+++++
Rieron ^vm+is+3p++++reír+
los ^lmp+def+++++el+
estudiantes ^ncp+com++++!!+estudiante+
con ^en++++++con+
gran ^jcs++++++gran+
entusiasmo ^nms+com+++++entusiasmo+
, ^punc++,+++++
el ^lms+def+++++el+
profesor ^nms+com+++++profesor+
dió ^n+++++??++
por ^en++++++por+
terminada ^vm+ps+0s++++terminar+
la ^lfs+def+++++la+
clase ^nfs+com+++++clase+
retirándo ^n+++++??++
se ^p3cn+per++++clt++
haciendo ^vm+pp+00++++hacer+
un ^lms+ind+++++un+
saludo ^nms+com++++!!+saludo+
ceremonioso ^jms++++++ceremonioso+
y ^con+coor+++++y+
los ^lmp+def+++++el+
chicos ^nmp+com++++!!+chico+
aplaudieron ^vm+is+3p++++aplaudir+
a ^en++++++a+
rabiar ^v+++++??++
. ^punc+sent+.+++++
Salió ^vm+is+3s++++salir+
Andrés ^n+prop+++++andrés+
Hurtado ^n+prop++++??+hurtado+
con ^en++++++con+
Aracil ^n+prop++++??+aracil+
, ^punc++,+++++
y ^con+coor+++++y+
los ^lmp+def+++++el+
dos ^mcp+card++++!!+dos+
, ^punc++,+++++
en ^en++++++en+
compañía ^nfs+com+++++compañía+
de ^en++++++de+
'l ^lms+def+++++el+
joven ^nms+com++++!!+joven+
de ^en++++++de+
la ^lfs+def+++++la+
barba ^nms+com+++++barba+
rubia ^jfs+++++!!+rubio+
, ^punc++,+++++
que ^que+relat++++!!+que+
se ^p3cn+per++psv+++él+
llamaba ^vm+ii+?s++++llamar+
Montaner ^n+prop++++??+montaner+
, ^punc++,+++++
se ^p3cn+per++psv+++él+
encaminaron ^vm+is+3p++++encaminar+
a ^en++++++a+
la ^lfs+def+++++la+
Universidad ^n+prop++++!!+universidad+
Central ^jcs+++++!!+central+
, ^punc++,+++++
en ^en++++++en+
donde ^p000+rel++++!!+donde+
daban ^vm+ii+3p++++dar+
la ^lfs+def+++++la+
clase ^nfs+com+++++clase+
de ^en++++++de+
Zoología ^n+prop++++!!+zoología+
y ^con+coor+++++y+
la ^lfs+def+++++la+
de ^en++++++de+
Botánica ^n+prop++++!!+botánica+
. ^punc+sent+.+++++
En ^en++++++en+
esta ^d3fs+dem++++!!+este+
última ^p3fs+++++!!+último+
los ^lmp+def+++++el+
estudiantes ^ncp+com++++!!+estudiante+
intentaron ^vm+is+3p++++intentar+
repetir ^vm+n0+00++++repetir+
el ^lms+def+++++el+
escándalo ^nms+com+++++escándalo+
de ^en++++++de+
la ^lfs+def+++++la+
clase ^nfs+com+++++clase+
de ^en++++++de+
Química ^n+prop++++!!+química+
; ^punc+sent+;+++++
pero ^con+coor+++++pero+
el ^lms+def+++++el+
profesor ^nms+com+++++profesor+
, ^punc++,+++++
un ^lms+ind+++++un+
viejecillo ^nms+com+++++viejecillo+
seco ^jms+++++!!+seco+
y ^con+coor+++++y+
malhumorado ^vm+ps+0s+++!!+malhumorar+
, ^punc++,+++++
les ^p3cp+per++mtz+++él+
salió ^vm+is+3s++++salir+
a ^en++++++a+
'l ^lms+def+++++el+
encuentro ^nms+com++++!!+encuentro+
, ^punc++,+++++
y ^con+coor+++++y+
les ^p3cp+per+++++él+
dijo ^vm+is+3s++++decir+
que ^que+vcomp++++!!+que+
de ^en++++++de+
él ^p3ms+per+++++él+
no ^r++++++no+
se ^p3cn+per++mtz+++él+
reía ^vm+ii+3s++++reír+
nadie ^p3cs+ind+++++nadie+
, ^punc++,+++++
ni ^con+coor+++++ni+
nadie ^p3cs+ind+++++nadie+
le ^p3cs+per+++++él+
aplaudía ^vm+ii+?s++++aplaudir+
como ^con+sub++++!!+como+
si ^con+sub+++++si+
fuera ^vm+si+?s+++!!+ser+
un ^lms+ind+++++un+
histrión ^nms+com+++++histrión+
. ^punc+sent+.+++++
De ^en++++++de+
la ^lfs+def+++++la+
Universidad ^n+prop++++!!+universidad+
, ^punc++,+++++
Montaner ^n+prop++++??+montaner+
, ^punc++,+++++
Aracil ^n+prop++++??+aracil+
y ^con+coor+++++y+
Hurtado ^n+prop++++??+hurtado+
marcharon ^vm+is+3p++++marchar+
hacia ^en++++++hacia+
el ^lms+def+++++el+
centro ^nms+com+++++centro+
. ^punc+sent+.+++++
Andrés ^n00++++++andrés+
experimentaba ^vm+ii+?s++++experimentar+
por ^en++++++por+
Julio ^n+prop++++!!+julio+
Aracil ^n+prop++++??+aracil+
bastante ^r+++++!!+bastante+
antipatía ^nfs+com+++++antipatía+
, ^punc++,+++++
aunque ^con+sub+++++aunque+
en ^en++++++en+
algunas ^d3fp+ind++++!!+algún+
cosas ^nfp+com+++++cosa+
le ^p3cs+per+++++él+
reconocía ^vm+ii+?s++++reconocer+
cierta ^jfs++++++cierto+
superioridad ^nfs+com+++++superioridad+
; ^punc+sent+;+++++
pero ^con+coor+++++pero+
sintió ^vm+is+3s++++sentir+
aún ^r+++++!!+aún+
mayor ^jcs+++++!!+mayor+
aversión ^nfs+com+++++aversión+
por ^en++++++por+
Montaner ^n+prop++++??+montaner+
. ^punc+sent+.+++++
Las ^lfp+def+++++la+
primeras ^mfp+ord+++++primero+
palabras ^nfp+com+++++palabra+
entre ^en++++++entre+
Montaner ^n+prop++++??+montaner+
y ^con+coor+++++y+
Hurtado ^n+prop++++??+hurtado+
fueron ^vm+is+3p+++!!+ser+
poco ^p3ms+ind++++!!+poco+
amables ^jcp++++++amable+
. ^punc+sent+.+++++
Montaner ^r+++++??++
hablaba ^vm+ii+?s++++hablar+
con ^en++++++con+
una ^lfs+ind+++++un+
seguridad ^nfs+com+++++seguridad+
de ^en++++++de+
todo ^d3ms+ind++++!!+todo+
algo ^p0cn+ind++++!!+algo+
ofensiva ^jfs+++++!!+ofensivo+
; ^punc+sent+;+++++
se ^p3cn+per++mtz+++él+
creía ^vm+ii+?s++++creer+
, ^punc++,+++++
sin ^en++++++sin+
duda ^nfs+com++++!!+duda+
, ^punc++,+++++
un ^lms+ind+++++un+
hombre ^nms+com++++!!+hombre+
de ^en++++++de+
mundo ^nms+com+++++mundo+
. ^punc+sent+.+++++
Hurtado ^n+++++??++
le ^p3cs+per+++++él+
replicó ^vm+is+3s++++replicar+
varias ^d3fp+ind+++++varias+
veces ^nfp+com+++++vez+
bruscamente ^r++++++bruscamente+
. ^punc+sent+.+++++
Los ^lmp+def+++++el+
dos ^mcp+card++++!!+dos+
condiscípulos ^nmp+com+++++condiscípulo+
se ^p3cn+per++mtz+++él+
encontraron ^vm+is+3p++++encontrar+
en ^en++++++en+
esta ^d3fs+dem++++!!+este+
primera ^mfs+ord++++!!+primero+
conversación ^nfs+com+++++conversación+
completamente ^r++++++completamente+
en ^en++++++en+
desacuerdo ^nms+com+++++desacuerdo+
. ^punc+sent+.+++++
Hurtado ^n+++++??++
era ^vm+ii+?s++++ser+
republicano ^jms+++++!!+republicano+
, ^punc++,+++++
Montaner ^n+prop++++??+montaner+
defensor ^nms+com+++++defensor+
de ^en++++++de+
la ^lfs+def+++++la+
familia ^nfs+com+++++familia+
real ^jcs+++++!!+real+
; ^punc+sent+;+++++
Hurtado ^n+prop++++??+hurtado+
era ^vm+ii+?s++++ser+
enemigo ^nms+com++++!!+enemigo+
de ^en++++++de+
la ^lfs+def+++++la+
burguesía ^nfs+com+++++burguesía+
, ^punc++,+++++
Montaner ^n+prop++++??+montaner+
partidario ^jms+++++!!+partidario+
de ^en++++++de+
la ^lfs+def+++++la+
clase ^nfs+com+++++clase+
rica ^jfs+++++!!+rico+
y ^con+coor+++++y+
de ^en++++++de+
la ^lfs+def+++++la+
aristocracia ^nfs+com+++++aristocracia+
. ^punc+sent+.+++++
- ^punc++-++++
- ^punc++-++++
Dejad ^vm+++++??++
esas ^d3fp+dem++++!!+ese+
cosas--dijo ^n+++++??++
varias ^d3fp+ind+++++varias+
veces ^nfp+com+++++vez+
Julio ^n+prop++++!!+julio+
Aracil ^n+prop++++??+aracil+
; ^punc+sent+;+++++
- ^punc++-+++++
- ^punc++-+++++
tan ^r+++++!!+tan+
estúpido ^jms+++++!!+estúpido+
es ^va+ip+3s++++ser+
ser ^vm+n0+00+++!!+ser+
monárquico ^nms+com++++!!+monárquico+
como ^con+sub++++!!+como+
republicano ^jms+++++!!+republicano+
; ^punc+sent+;+++++
tan ^r+++++!!+tan+
tonto ^jms+++++!!+tonto+
defender ^vm+n0+00++++defender+
a ^en++++++a+
los ^lmp+def+++++el+
pobres ^ncp+com++++!!+pobre+
como ^con+sub++++!!+como+
a ^en++++++a+
los ^lmp+def+++++el+
ricos ^nmp+com++++!!+rico+
. ^punc+sent+.+++++
La ^lfs+def+++++la+
cuestión ^nfs+com+++++cuestión+
sería ^va+c+?s++++ser+
tener ^vm+n0+00++++tener+
dinero ^nms+com+++++dinero+
, ^punc++,+++++
un ^lms+ind+++++un+
cochecito ^nms+com++dim+++cochecito+
como ^con+sub++++!!+como+
ése--y ^n+++++??++
señalaba ^vm+ii+?s++++señalar+
uno--y ^n+++++??++
una ^lfs+ind+++++un+
mujer ^nfs+com+++++mujer+
como ^con+sub++++!!+como+
aquélla ^p000++++++aquélla+
. ^punc+sent+.+++++
La ^lfs+def+++++la+
hostilidad ^nfs+com+++++hostilidad+
entre ^en++++++entre+
Hurtado ^n+prop++++??+hurtado+
y ^con+coor+++++y+
Montaner ^n+prop++++??+montaner+
todavía ^r++++++todavía+
se ^p3cn+per++psv+++él+
manifestó ^vm+is+3s++++manifestar+
delante ^en++++++delante+
de ^en"++++++de+
'l ^lms+def+++++el+
escaparate ^nms+com+++++escaparate+
de ^en++++++de+
una ^lfs+ind+++++un+
librería ^nfs+com+++++librería+
. ^punc+sent+.+++++
Hurtado ^n+++++??++
era ^vm+ii+?s++++ser+
partidario ^jms+++++!!+partidario+
de ^en++++++de+
los ^lmp+def+++++el+
escritores ^nmp+com+++++escritor+
naturalistas ^jcp+++++!!+naturalista+
, ^punc++,+++++
que ^que+relat++++!!+que+
a ^en++++++a+
Montaner ^n+prop++++??+montaner+
no ^r++++++no+
le ^p3cs+per+++++él+
gustaban ^vm+ii+3p++++gustar+
; ^punc+sent+;+++++
Hurtado ^n+prop++++??+hurtado+
era ^vm+ii+?s++++ser+
entusiasta ^ncs+com++++!!+entusiasta+
de ^en++++++de+
Espronceda ^n+prop+++++espronceda+
, ^punc++,+++++
Montaner ^n+prop++++??+montaner+
de ^en++++++de+
Zorrilla ^n+prop+++++zorrilla+
; ^punc+sent+;+++++
no ^r++++++no+
se ^p3cn+per++psv+++él+
entendían ^vm+ii+3p++++entender+
en ^en++++++en+
nada ^r+++++!!+nada+
. ^punc+sent+.+++++
Llegaron ^vm+is+3p++++llegar+
a ^en++++++a+
la ^lfs+def+++++la+
Puerta ^n+prop+++++puerta+
de ^en++++++de+
'l ^lms+def+++++el+
Sol ^n+prop++++!!+sol+
y ^con+coor+++++y+
tomaron ^vm+is+3p++++tomar+
por ^en++++++por+
la ^lfs+def+++++la+
Carrera ^n+prop+++++carrera+
de ^en++++++de+
San ^jms+++++!!+san+
Jerónimo ^n+prop+++++jerónimo+
. ^punc+sent+.+++++
- ^punc++-++++
- ^punc++-++++
Bueno ^fill+++++!!+buen+
, ^punc++,+++++
yo ^p1cs+per+++++yo+
me ^p1cs+per++mtz+++yo+
voy ^vm+ip+1s++++ir+
a ^en++++++a+
casa--dijo ^n+++++??++
Hurtado ^n+prop++++??+hurtado+
. ^punc+sent+.+++++
Dónde ^p000+int+++++dónde+
vives?--le ^n+++++??++
preguntó ^vm+is+3s++++preguntar+
Aracil ^n+prop++++??+aracil+
. ^punc+sent+.+++++
- ^punc++-++++
- ^punc++-++++
En ^en++++++en+
la ^lfs+def+++++la+
calle ^nfs+com+++++calle+
de ^en++++++de+
Atocha ^n+prop+++++atocha+
. ^punc+sent+.+++++
- ^punc++-++++
- ^punc++-++++
Pues ^con+sub+++++pues+
los ^lmp+def+++++el+
tres ^mcp+card++++!!+tres+
vivimos ^vm+ip+1p++++vivir+
cerca ^r+++++!!+cerca+
. ^punc+sent+.+++++
Fueron ^vm+is+3p+++!!+ser+
juntos ^jmp++++++junto+
a ^en++++++a+
la ^lfs+def+++++la+
plaza ^nfs+com+++++plaza+
de ^en++++++de+
Antón ^n+prop+++++antón+
Martín ^n+prop+++++martín+
y ^con+coor+++++y+
allí ^r++++++allí+
se ^p3cn+per++psv+++él+
separaron ^vm+is+3p++++separar+
con ^en++++++con+
muy ^r++++++muy+
poca ^d3fs+ind++++!!+poco+
afabilidad ^nfs+com+++++afabilidad+
. ^punc+sent+.+++++
