I ^vm+i0+00++++i+
, ^punc++,+++++
que ^que+cpare++++!!+que+
su ^d3cs+pos+++++su+
vida ^nfs+com+++++vida+
ha ^vm+ip+3s++++haber+
de ^en++++++de+
cambiar ^vm+n0+00++++cambiar+
. ^punc+sent+.+++++
Andrés ^n00++++++andrés+
Hurtado ^n+prop++++??+hurtado+
, ^punc++,+++++
algo ^p0cn+ind++++!!+algo+
sorprendido ^vm+ps+0s++++sorprender+
de ^en++++++de+
ver ^vm+n0+00++++ver+
se ^p3cn+per++++clt++
entre ^en++++++entre+
tanto ^r+++++!!+tanto+
compañero ^nms+com+++++compañero+
, ^punc++,+++++
miraba ^vm+ii+?s++++mirar+
atentamente ^r++++++atentamente+
arrimado ^vm+ps+0s++++arrimar+
a ^en++++++a+
la ^lfs+def+++++la+
pared ^nfs+com+++++pared+
la ^lfs+def+++++la+
puerta ^nfs+com+++++puerta+
de ^en++++++de+
un ^lms+ind+++++un+
ángulo ^nms+com+++++ángulo+
de ^en++++++de+
'l ^lms+def+++++el+
patio ^nms+com+++++patio+
por ^en++++++por+
donde ^p000+rel++++!!+donde+
tenían ^va+ii+3p++++tener+
que ^va"+vcomp++++!!+que+
pasar ^vm+n0+00++++pasar+
. ^punc+sent+.+++++
Los ^lmp+def+++++el+
chicos ^nmp+com++++!!+chico+
se ^p3cn+per++psv+++él+
agrupaban ^vm+ii+3p++++agrupar+
delante ^en++++++delante+
de ^en"++++++de+
aquella ^d3fs+dem+++++aquel+
puerta ^nfs+com+++++puerta+
como ^con+sub++++!!+como+
el ^lms+def+++++el+
público ^nms+com++++!!+público+
a ^en++++++a+
la ^lfs+def+++++la+
entrada ^nfs+com++++!!+entrada+
de ^en++++++de+
un ^lms+ind+++++un+
teatro ^nms+com+++++teatro+
. ^punc+sent+.+++++
Andrés ^n00++++++andrés+
seguía ^vm+ii+?s++++seguir+
apoyado ^vm+ps+0s++++apoyar+
en ^en++++++en+
la ^lfs+def+++++la+
pared ^nfs+com+++++pared+
, ^punc++,+++++
cuando ^con+sub++++!!+cuando+
sintió ^vm+is+3s++++sentir+
que ^que+vcomp++++!!+que+
le ^p3cs+per+++++él+
agarraban ^vm+ii+3p++++agarrar+
de ^en++++++de+
'l ^lms+def+++++el+
brazo ^nms+com+++++brazo+
y ^con+coor+++++y+
le ^p3cs+per+++++él+
decían ^vm+ii+3p++++decir+
: ^punc+sent+:+++++
Hola ^n00+++++!!+hola+
, ^punc++,+++++
chico ^jms+++++!!+chico+
! ^punc+sent+!+++++
Hurtado ^n+++++??++
se ^p3cn+per++mtz+++él+
volvió ^vm+is+3s++++volver+
y ^con+coor+++++y+
se ^p3cn+per++mtz+++él+
encontró ^vm+is+3s++++encontrar+
con ^en++++++con+
su ^d3cs+pos+++++su+
compañero ^nms+com+++++compañero+
de ^en++++++de+
Instituto ^n+prop++++!!+instituto+
Julio ^n+prop++++!!+julio+
Aracil ^n+prop++++??+aracil+
. ^punc+sent+.+++++
Habían ^va+ii+3p++++haber+
